Picture,Common Name,Scientific Name,Family,Last Seen,Random Comments
![](birdspics/brant_2401.JPG),Brant 黑雁 ![](pixelart/brant_s.png),*branta bernicla*,Waterfowl,"June '25, Malibu CA",can be identified by white neckline
![](birdspics/canadian_goose_2501.JPG),Canada Goose 加拿大雁 ![](pixelart/canadagoose_s.png),*branta canadensis*,Waterfowl,"May '25, Baltimore MD",countless of them in blackwater NWR in January
![](birdspics/bar_headed_goose_1912.jpg),Bar-headed Goose 斑头雁 ![](pixelart/barheadedgoose_s.png),*anser indicus*,Waterfowl,"Dec '19, Lhasa Tibet",Seen with ruddy shelduck in the pond behind Potala palace
![](birdspics/ruddy_shelduck_1912.jpg),Ruddy Shelduck 赤麻鸭 ![](pixelart/ruddyshelduck_s.png),*tadorna ferruginea*,Waterfowl,"Dec '19, Lhasa Tibet",NA
![](birdspics/black_swan_juv_2302.jpg),Black Swan 黑天鹅 ![](pixelart/blackswan_s.png),*cygnus atratus*,Waterfowl,"Feb '23, Suzhou Jiangsu",juvenile + escaped species
![](birdspics/whistling_swan_2501.JPG),Tundra Swan 小天鹅 ![](pixelart/tundraswan_s.png),*cygnus columbianus*,Waterfowl,"Jan '25, Cambridge MD",small part of yellow on bills
![](birdspics/mute_swan_1607.jpg),Mute Swan 疣鼻天鹅 ![](pixelart/muteswan_s.png),*cygnus olor*,Waterfowl,"July '16, Luzern Swiss",NA
![](birdspics/mallard_2501.jpeg),Mallard 绿头鸭 ![](pixelart/mallard_s.png),*anas platyrhynchos*,Waterfowl,"July '25, Beijing",sometimes mixed with domestic ducks
![](birdspics/gadwall_2506.jpg),Gadwall 赤膀鸭 ![](pixelart/gadwall_s.png),*mareca strepera*,Waterfowl,"June '25, Malibu CA",NA
![](birdspics/mandarin_duck_juv_2306.JPG),Mandarin Duck 鸳鸯 ![](pixelart/mandarinduck_s.png),*aix galericulata*,Waterfowl,"July '25, Beijing","juvenile, identified by dotted webbings"
![](birdspics/red_breasted_merganser_2506.jpg),Red-breasted Merganser 红胸秋沙鸭 ![](pixelart/redbreastedmerganser_s.png),*mergus serrator*,Waterfowl,"June '25, Malibu CA",NA
![](birdspics/hooded_merganser_2501.JPG),Hooded Merganser 棕胁秋沙鸭 ![](pixelart/hoodedmerganser_s.png),*lophydytes cucullatus*,Waterfowl,"Jan '25, Cambridge MD",go around in couples
![](birdspics/great_cormorant_1907.jpg),Great Cormorant 普通鸬鹚,*phalacrocorax carbo*,Cormorants and Anhingas,"July '19, Kyoto Japan",NA
